id,gamescount,last_game_win,round_type_1,round_type_2,round_type_3,total_cards_done,total_length,total_lost,total_magic_used,total_win,turnir_counts,turnir_wins,type_1,type_2,visits,skill,magic_for_card,card_for_game,magic_for_game,games_for_visit,more_win_then_mean,more_length_then_mean,more_magic_then_mean
218944,4,0,0.0,0.0,0.0,131,1149,1,3,3,0,0,1.0,0.0,1,0.75,0.022727272727272728,32.75,0.75,4.0,False,False,False
218946,6,0,0.0,0.0,0.0,182,947,0,6,6,0,0,1.0,0.0,1,1.0,0.03278688524590164,30.333333333333332,1.0,6.0,True,False,True
218957,3,0,0.0,0.0,0.0,156,1010,0,3,3,0,0,1.0,0.0,1,1.0,0.01910828025477707,52.0,1.0,3.0,False,False,False
218916,2,0,0.0,0.0,0.0,52,558,1,1,1,0,0,1.0,0.0,1,0.5,0.018867924528301886,26.0,0.5,2.0,False,False,False
218966,6,0,0.0,0.0,0.0,277,1436,0,6,6,0,0,1.0,0.0,1,1.0,0.02158273381294964,46.166666666666664,1.0,6.0,True,True,True
218967,3,0,0.0,0.0,0.0,83,856,0,3,3,0,0,1.0,0.0,1,1.0,0.03571428571428571,27.666666666666668,1.0,3.0,False,False,False
218968,3,0,0.0,0.0,0.0,117,805,0,3,3,0,0,1.0,0.0,1,1.0,0.025423728813559324,39.0,1.0,3.0,False,False,False
218976,3,0,0.0,0.0,0.0,156,570,0,3,3,0,0,1.0,0.0,1,1.0,0.01910828025477707,52.0,1.0,3.0,False,False,False
218977,25,1,0.0,0.0,0.0,442,5009,2,23,23,0,0,1.0,0.0,3,0.92,0.05191873589164785,17.68,0.92,8.333333333333334,True,True,True
218979,9,0,0.0,0.0,0.0,468,2165,0,9,9,0,0,1.0,0.0,1,1.0,0.019189765458422176,52.0,1.0,9.0,True,True,True
218983,216,1,0.4166666666666667,0.36666666666666664,0.21666666666666667,7015,25177,32,184,184,60,10,0.7222222222222222,0.2777777777777778,3,0.8518518518518519,0.026225769669327253,32.476851851851855,0.8518518518518519,72.0,True,True,True
218986,4,1,0.0,0.0,0.0,70,1844,1,3,3,0,0,1.0,0.0,2,0.75,0.04225352112676056,17.5,0.75,2.0,False,True,False
218993,8,0,0.0,0.0,0.0,156,2071,1,7,7,0,0,1.0,0.0,1,0.875,0.044585987261146494,19.5,0.875,8.0,True,True,True
218996,9,1,0.0,0.0,0.0,232,3666,0,9,9,0,0,1.0,0.0,2,1.0,0.03862660944206009,25.77777777777778,1.0,4.5,True,True,True
